Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Zibetto Espresso Bar,1,1385.4232130797775,1,4.3,3,540,1.0,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Carol's Cafe,1,309.97817757194883,1,4.3,1,57,0.0,Cafes,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Perk Coffee,1,1257.2773568849148,1,4.3,1,454,1.0,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Pickler Sandwich Shop,1,635.6107335475457,0,4.3,2,384,1.0,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Birch Coffee,1,960.4476652675036,1,4.2,2,275,1.0,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Charoen Krung,1,227.25238688478825,1,4.8,2,121,1.0,Thai,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Blasket,1,483.5516718925816,1,4.7,2,101,1.0,Irish Pub,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Bonsaii Tapas & Wine Bar,1,656.9555825485658,1,4.7,2,16,1.0,Tapas Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Greats Of Craft,1,160.30778069153084,1,4.6,2,111,1.0,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Strangelove,1,305.271174596711,0,4.6,1,62,1.0,Dive Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Madam Mikette’s,1,195.98617534403567,1,4.5,2,90,1.0,Cocktail Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Frida Midtown,1,323.2441842255569,1,4.5,3,197,1.0,Mexican,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Sea Fire Grill,1,542.2846789388587,1,4.5,3,1558,1.0,Seafood,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Sutton Bar Room,1,544.2881205589613,1,4.4,2,77,1.0,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Alvin Public House,1,969.2970059758368,1,4.4,2,87,1.0,Burgers,bar
