Name_Station,Venue_Name,Venue_Address,Venue_Distance,Venue_Category
"Icon Pkg: Albany St, west & Washington",For Five Coffee Roasters,Empty,283,Coffee Shop
"Icon Pkg: Albany St, west & Washington",Joe Coffee,Empty,325,Coffee Shop
"Icon Pkg: Albany St, west & Washington",Le District Coffee,225 Liberty St,416,Coffee Shop
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",The Pearl Hotel,233 W 49th St,155,Hotel
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",citizenM New York Times Square Hotel,218 W 50th St,170,Hotel
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",M Social Hotel Times Square New York,226 W 52nd St,250,Hotel
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Local 100 Restaurant & Hotel,760 8th Ave,282,Restaurant
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Theater District Shopping Court,Midtown Manhattan,344,Flea Market
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Park Fifty One Hotel,152 W 51st St,353,Hotel
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Bus Stop Coffee Shop,761 7th Ave,355,Bus Station
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Renaissance New York Times Square Hotel,714 7th Ave,358,Hotel
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Park View Hotel,317 W 45th St,377,[]
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",Hard Rock Hotel New York,159 W 48th St,443,Hotel
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",Pennylane Coffee No.2,205 E 42nd St,147,Coffee Shop
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",Remi Flower & Coffee,810 2nd Ave,193,Coffee Shop
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",Seton Hotel,144 E 40th St,250,Hotel
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",John's Coffee Shop,823 2nd Ave,261,Coffee Shop
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",The Pod Hotel 39,145 E 39th St,287,Hotel
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",Pennylane Coffee,305 E 45th St,359,Coffee Shop
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",Joe Coffee,44 Grand Central Terminal,383,Coffee Shop
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave","The Renwick Hotel New York City, Curio Collection by Hilton",118 E 40th St,384,Hotel
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",AKC Museum of the Dog,101 Park Ave,414,History Museum
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",Caesar Park Hotel & Resorts,420 Lexington Ave,420,Hotel
"Icon Pkg: W 40 St, Broadway & 7th Ave",Gregorys Coffee,551 Fashion Ave,74,Coffee Shop
"Icon Pkg: W 40 St, Broadway & 7th Ave",Screenvision Cinema Network,1411 Broadway,98,Advertising Agency
"Icon Pkg: W 40 St, Broadway & 7th Ave",LUMA Hotel Times Square,120 W 41st St,131,Hotel
"Icon Pkg: W 40 St, Broadway & 7th Ave",10000 Coffee,1410 Broadway,169,Coffee Shop
"Icon Pkg: W 40 St, Broadway & 7th Ave",Casablanca Hotel,147 W 43rd St,272,Hotel
"Icon Pkg: W 40 St, Broadway & 7th Ave",Joe Coffee Company,55 W 40th St,286,Coffee Shop
"Icon Pkg: W 40 St, Broadway & 7th Ave",Bluestone Lane,11 Times Sq,299,Café
"Icon Pkg: W 40 St, Broadway & 7th Ave",Refinery Hotel,63 W 38th St,319,Hotel
"Icon Pkg: W 40 St, Broadway & 7th Ave",Blue Bottle Coffee,54 W 40th St,323,"Cafe, Coffee, and Tea House"
"Icon Pkg: W 40 St, Broadway & 7th Ave",Bryant Park Hotel,40 W 40th St,340,Hotel
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Daniel’s Coffee And More,1050 3rd Ave,102,Coffee Shop
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Birch Coffee,134 1/2 E 62nd St,192,Coffee Shop
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Sant Ambroeus Coffee Bar at Hanley,1136 3rd Ave,224,Café
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Cinema 123 by Angelika,1001 3rd Ave,293,Movie Theater
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Library Bar at Loews Regency Hotel,540 Park Ave,391,Cocktail Bar
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Park Avenue Coffee Shop,544 Park Ave,399,Coffee Shop
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Sant Ambroeus Coffee Bar at Loews Regency Hotel,540 Park Ave,428,Café
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Hotel Plaza Athenee,37 E 64th St,439,Hotel
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",Coffee Cart Park Avenue & 86th Street,Park Avenue,453,Bagel Shop
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",The Lowell Hotel,28 E 63rd St,457,Resort
JOCO X Grubhub Concierge,Coffee Cart,5TH Ave,59,Food Truck
JOCO X Grubhub Concierge,Wonder City Coffee & Doughnuts,277 E 10th St,125,Bagel Shop
JOCO X Grubhub Concierge,The Lobby hotel loünge,504 E 12th St,132,Coworking Space
JOCO X Grubhub Concierge,Saltwater Coffee,345 E 12th St,221,Café
JOCO X Grubhub Concierge,Unofficial Museum Of Stuff,156 1st Ave,236,Vintage and Thrift Store
JOCO X Grubhub Concierge,Cinema Classics Movie Catalogue,332 E 11th St,271,Movie Theater
JOCO X Grubhub Concierge,East Village Hotel,147 1st Ave,288,Hotel
JOCO X Grubhub Concierge,The Dela Vega Museum,102 Saint Marks Pl,340,Art Museum
JOCO X Grubhub Concierge,787 Coffee,131 E 7th St,362,Coffee Shop
JOCO X Grubhub Concierge,Museum of the American Gangster,80 Saint Marks Pl,372,History Museum
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",MTA Bus - Park Av S & E 18 St,Park Av,40,Bus Stop
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Cinema Village,22 E 12th St,325,Indie Movie Theater
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Joe Coffee Company,9 E 13th St,363,Café
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Brooklyn Bagel & Coffee Company,63 E 8th St,422,Bagel Shop
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Irving Farm Coffee Roasters,71 Irving Pl,427,Café
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",787 Coffee,159 E 10th St,452,Coffee Shop
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Stuyvesant Park Residence - The New School,318 E 15th St,512,College Residence Hall
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Cinema Studies Department,721 Broadway,572,College Academic Building
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Blue Bottle Coffee,257 Park Ave S,596,"Cafe, Coffee, and Tea House"
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",Saltwater Coffee,345 E 12th St,599,Café
